,id,track_name,artist_name,artist_pop,artist_genres,album,track_pop,valence,energy,danceability,loudness,speechiness,acousticness,instrumentalness,liveness,mode,key,tempo,duration_ms,time_signature,mood
3144,6iwMSccjAMyJgWAzIKhIyI,Brothers,l'Outlander,52,lo-fi beats,Willpower,47,0.742,0.185,0.742,-19.588,0.0783,0.873,0.921,0.0859,0,11,114.996,169053,4,calm
3145,6m4dF4GCkRzD28MkynaziJ,Over Again,kosmikk,34,unknown,Over Again,42,0.161,0.335,0.643,-10.556,0.026,0.916,0.884,0.0781,0,7,81.024,114259,4,calm
3146,5SWgBCyW3kZNjYOld1JOvy,clarity,swiftly,45,lo-fi beats,clarity,42,0.145,0.164,0.64,-16.03,0.0315,0.974,0.929,0.105,0,5,74.97,104000,3,calm
3147,2MAMV4z4sRSptRhBOgnWE5,Motion,Hazue,46,lo-fi beats,Motion,45,0.335,0.0457,0.736,-20.205,0.0414,0.97,0.961,0.102,1,1,83.011,108434,4,calm
3148,1d43Itql2O0FrcDXaKs8fV,Part Ways,Sebastian Kamae,57,lo-fi beats,Part Ways,44,0.173,0.212,0.673,-17.148,0.0748,0.902,0.94,0.079,0,6,79.022,150380,4,calm
3149,03Rq0DDjbfEJC4wqHbubfU,Magnetise,wood.,47,lo-fi beats,Magnetise,43,0.116,0.211,0.532,-14.108,0.0382,0.271,0.92,0.372,0,2,144.996,139968,4,calm
3150,58qYWq8aKRQbx5P0W8ZTgE,Out Cold,Ninn Tendo,44,lo-fi beats,Out Cold,27,0.144,0.185,0.652,-19.408,0.0355,0.969,0.96,0.0993,1,4,76.997,115325,4,calm
3151,3zujC9h5GUR9lSQ78FXTF8,Rest,Hazue,46,lo-fi beats,Rest,45,0.101,0.132,0.682,-20.514,0.035,0.962,0.934,0.112,1,8,82.034,143415,4,calm
3152,6VdE9gYhKxz8Gct9mochHs,Night Shift,Noflik,46,lo-fi brasileiro,Night Shift,45,0.972,0.357,0.761,-13.336,0.0714,0.847,0.831,0.218,1,0,82.328,100949,4,calm
3153,4NNojnTmAd2ayvXOl13t6m,Orchards,ghost talk,43,lo-fi beats,Orchards,43,0.502,0.207,0.801,-18.631,0.058,0.982,0.621,0.0962,1,9,129.494,133897,4,calm
3154,62GeL94N99lPYDqbjFnlc2,Brighter Days,Sutton,44,lo-fi beats,Brighter Days,45,0.339,0.299,0.745,-12.418,0.0527,0.944,0.832,0.109,1,8,172.053,103256,4,calm
3155,4ubQKFkaKtNj9tDtWHjMvo,out of office,home grown,46,lo-fi beats,out of office,44,0.111,0.0952,0.657,-17.92,0.0407,0.91,0.905,0.108,0,4,79.998,111000,4,calm
3156,6w6tWFkVROj5IGevCPf2DO,Summer Hiatus,Ambulo,54,lo-fi beats,Summer Hiatus,44,0.91,0.291,0.711,-13.322,0.0896,0.761,0.873,0.107,0,10,75.044,112400,4,calm
3157,5YmEUcCSx4MgdonQAQYdw3,Without You,ghost talk,43,lo-fi beats,Without You,47,0.122,0.0398,0.723,-20.138,0.0453,0.976,0.938,0.101,1,9,119.976,128010,4,calm
3158,0i6APE5pHaBVKEMAO5zCJM,Toasty,Ninn Tendo,44,lo-fi beats,Toasty,43,0.145,0.362,0.673,-13.856,0.193,0.979,0.947,0.11,0,3,80.008,111000,4,calm
3159,3BJEzCJd3hrILkLNmTRjSu,cosmic,wide awake,41,lo-fi beats,cosmic,41,0.223,0.0666,0.283,-26.81,0.0341,0.99,0.922,0.098,1,5,84.942,104471,4,calm
3160,4tNuZAL1qmS0bck0MRxzB5,Cooper Lake,Kyle McEvoy,47,neo-classical,Cooper Lake,44,0.246,0.291,0.636,-11.762,0.0484,0.723,0.871,0.0958,0,6,164.256,107896,4,calm
3161,5O01aR5C1898q5ZF1cjb5F,Change Everything,MyceliumBug,35,unknown,Mind's Desire,37,0.335,0.297,0.721,-12.611,0.038,0.719,0.851,0.085,0,9,141.995,123380,4,calm
3162,4ZSO9tiDQLzzHsSLNvNDnI,cozy,drowsy,42,lo-fi beats,cozy,43,0.111,0.0965,0.545,-23.786,0.0285,0.959,0.912,0.0997,0,1,76.003,129474,4,calm
